Date,AZN.L,BAB.L,BBY.L,BP.L,CNA.L,CPG.L,CPI.L,CRDA.L,DRX.L,ELM.L,ENOG.L,ESNT.L,FGP.L,FORT.L,FSJ.L,FSTA.L,FUTR.L,GFRD.L,GSK.L,IAG.L,INCH.L,INF.L,ITV.L,JMAT.L,KIE.L,MTO.L,NG.L,OXB.L,OXIG.L,PETS.L,PSN.L,SBRY.L,SGE.L,SGRO.L,SMIN.L,SMWH.L,SPI.L,SSE.L,SYNT.L,TPK.L,TSCO.L,TTG.L,UU.L,WINE.L,XPS.L,^FTSE,,,,
02/01/2019,5892.070801,482.0014343,245.2160034,505.2887573,135.7234192,1633.037231,1712.999878,4768.66455078125,361.704895,183.0496216,652.1679077,336.6286316,84.35342407,224.0319824,1739.592285,911.8360596,479.7766418,63.37591934,1505.849854,604.3268433,551.3082275,613.6011353,124.5389481,2716.218262,349.684967,57.16983032,770.9857788,655,888.475647,116.0973816,1931.244629,260.5015259,598.380249,596.3572388,1380.012817,1748.918823,110.5402451,1065.015015,2437.459229,1006.502747,241.4629974,197.8628387,744.6520996,244.9441223,166.451004,6734.200195,,,,
03/01/2019,5998.87207,477.2053528,243.2191467,506.683136,137.0207672,1627.044434,1626.749878,4714.46337890625,363.1008301,180.9513702,651.6702271,337.625824,85.55204773,220.5392761,1737.592773,891.8834839,477.7775879,65.35811615,1512.474243,580.5689087,548.3146973,605.2093506,124.9874496,2658.363037,343.1903381,59.79413223,771.5838013,644.9000244,884.4782104,117.2942429,1937.713501,261.9958801,571.2266235,597.7543335,1339.585815,1751.915405,113.038887,1060.033447,2392.143311,995.6395874,251.2953949,191.6734009,748.0414429,245.9438934,162.9625244,6692.700195,,,,
04/01/2019,6077.725098,492.6925659,248.1115112,518.7352905,137.0207672,1635.035034,1712.249878,4888.31591796875,361.704895,180.8514557,648.3844604,350.9872742,86.10141754,219.5413818,1749.589966,913.8314819,468.7817383,68.38346863,1524.115967,590.7508545,553.8027344,615.9987183,126.0838318,2787.041016,368.6562195,58.66208649,780.6530151,645,880.4804077,119.1893082,1996.432251,259.0073547,592.3905029,599.1515503,1368.533447,1800.857178,113.5386353,1066.01123,2464.92334,1030.11853,248.8372498,195.6665955,758.6080933,248.943222,162.4641724,6837.399902,,,,
07/01/2019,5993.880371,501.385376,250.8072357,518.7352905,130.9830627,1643.524536,1744.499878,4881.1572265625,369.282074,186.646698,647.1896362,357.7677002,87.89936066,225.029892,1749.589966,886.8952637,464.7836304,69.84397888,1519.900757,595.5424194,553.8027344,618.3965454,125.6851425,2788.038574,387.4563904,62.83016205,776.2679443,643,898.4698486,122.5804672,1998.422729,264.6855469,597.581543,602.3448486,1382.508179,1815.839355,115.737442,1051.067017,2554.182617,1029.64624,255.2662201,200.1589355,750.4338379,248.943222,158.4773102,6810.899902,,,,
08/01/2019,5887.07959,514.5745239,255.2003937,517.7391968,130.9830627,1655.010742,1774.499878,4970.12744140625,370.6777954,194.4402924,635.8389893,357.5683289,89.34770203,233.512146,1749.589966,886.8952637,487.7729187,71.25231934,1524.717407,595.9417114,562.7832642,639.5757446,130.9677124,2887.789551,435.8244019,63.60199738,781.4502563,649.2000122,896.4710083,122.6802063,2030.27002,265.4824829,598.979248,614.5194092,1391.492065,1838.812012,114.2382431,1082.449707,2604.991699,1039.564819,262.32547,196.8645172,753.6238403,249.9429932,158.4773102,6861.600098,,,,
09/01/2019,5899.057129,522.9676514,266.083313,520.8267822,130.4341736,1652.513672,1805.999878,5002.8525390625,380.6476135,192.0422363,629.4666138,363.351593,91.14563751,250.4767303,1813.574951,904.8528442,515.7598877,74.22550201,1542.582642,599.5353394,569.7683105,651.1643677,137.3964996,2945.645752,439.2426758,61.6981163,787.1310425,646.5999756,902.4674683,122.1815109,2095.954834,271.5592346,607.7641602,614.7189941,1424.931885,1882.759766,116.1372147,1119.809692,2654.42749,1060.81897,266.989502,199.460144,754.6206665,263.9397888,158.4773102,6906.600098,,,,
10/01/2019,5912.033203,522.9676514,265.98349,524.9107056,132.5299072,1673.488647,1825.499878,5050.91845703125,389.6204834,191.9423676,619.3109131,372.1262207,91.54518127,247.4829865,1833.570313,908.8432007,523.7561646,73.54740906,1541.579102,593.7455444,571.2650757,647.5679932,136.8981476,2946.642822,444.7973022,61.18356323,798.6918945,643,920.4567871,120.4859314,2100.931152,274.946167,619.9433594,612.7232666,1437.409302,1852.171021,118.4359818,1147.705688,2643.441406,1052.789917,272.7882385,200.6580811,765.7853394,261.9402466,158.0017853,6942.899902,,,,
11/01/2019,5701.423828,541.1524048,268.3796997,519.133606,134.9250183,1664.998901,1813.499878,5041.7138671875,389.2217102,191.7424927,632.0553589,368.7360535,92.79376221,242.4934082,1885.558105,908.8432007,523.7561646,74.85144806,1530.739868,608.9186401,582.7402954,656.1596069,138.4430389,2917.71582,452.0610657,59.02229691,798.7915649,626.2999878,918.4579468,118.1919327,2192.492676,274.7469788,606.9655762,615.1182861,1445.894043,1862.161011,117.8363037,1150.196411,2614.604004,1080.656128,274.8052063,199.6597595,762.5953979,269.4385376,153.5159607,6918.200195,,,,
14/01/2019,5498.799316,524.7661133,265.883606,518.7352905,133.4281006,1651.515015,1795.499878,4949.6748046875,391.8139038,187.7458038,625.9817505,365.1463928,92.09455872,241.4954834,1879.559448,913.8314819,521.7571411,73.59957886,1496.215088,603.3286133,574.258667,643.7717285,137.2469788,2921.705078,436.6790161,58.45621872,783.8423462,630.7000122,881.4797974,117.1945114,2218.368896,272.5553589,590.9927979,618.9102783,1437.409302,1848.174927,116.5370026,1144.218506,2584.393555,1093.408813,274.8052063,195.6665955,763.5924072,266.9391174,157.5033722,6855,,,,
15/01/2019,5546.709961,530.161499,265.584137,520.6276855,134.4260559,1654.511597,1685.999878,5019.2158203125,397.5963745,188.64505,620.6051025,365.7445679,90.94589233,248.480896,1855.565186,905.8504028,496.7687378,73.02584076,1514.079712,594.1448364,565.7769165,645.9695435,136.8483276,2934.673096,429.4151917,59.07371521,795.0044556,623.9000244,880.4804077,117.6932144,2190.501709,273.4519653,602.9724121,621.1057739,1432.917358,1858.164917,102.6445084,1150.694214,2606.364746,1096.242554,274.9312134,198.6614685,772.9628296,269.9384155,158.5002441,6895,,,,
16/01/2019,5485.82373,547.147583,271.175354,513.9541626,134.8751221,1629.042236,1778.999878,4931.26708984375,408.7625732,185.9472504,619.0120239,362.3544312,90.54634094,251.4746552,1799.578369,843.9971313,490.7715454,74.12117767,1489.791382,609.5175781,579.7467651,653.7619629,136.7984619,2941.654785,440.5245361,58.71349716,797.6952515,605.7000122,874.4840088,119.6880112,2308.935059,271.9576721,591.9911499,624.6981812,1425.930176,1859.16394,104.4435425,1160.158936,2576.153809,1146.308228,277.8305359,197.4635162,791.3049927,266.9391174,155.0112457,6862.700195,,,,
17/01/2019,5499.797852,534.9577026,271.0755005,508.9740601,134.4759674,1609.816162,1793.999878,4917.9716796875,408.7625732,185.0480042,619.3109131,358.5653992,90.54634094,250.9756927,1873.561035,897.8692627,499.7724915,74.17333221,1487.182007,614.708374,587.7294922,652.9626465,128.675293,2971.580811,430.2698059,59.94848251,792.413147,614.7999878,875.4832764,119.9872437,2303.958984,270.4634094,623.9365845,622.3031006,1423.434326,1859.16394,105.9427261,1122.084717,2576.153809,1165.200562,276.1917419,192.4720154,805.4602661,260.4405823,151.5222626,6834.899902,,,,
